"","business_id","stars","alcohol","divey","casual","bikeparking","businessacceptscreditcards","goodforkids","dessert","latenight","lunch","dinner","brunch","hastv","restaurantsdelivery"
"632","mbZe40oM-Ha-Q_qWh49-Mg",2,"none",1,0,0,1,1,0,0,1,1,0,0,0
"633","ti1bb30WwnkDLuVvpTM6fQ",3,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,0
"634","TTVXY5vOJDqC0_Je8UhK8A",3.5,"none",0,0,0,1,1,0,0,1,1,0,0,1
"636","c0F2t2j9MJ2gUBUPky-dqw",3.5,"fullbar",0,1,1,1,1,0,0,0,1,0,1,0
"638","loXkZgAd70KMjP8ISCnZPQ",4,"none",0,0,1,1,1,0,0,1,1,0,0,1
"639","8PNXDkWz3hyZFi7E4tYhjw",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,0,0
"641","tMkLVD60GqCgQ392GWPHIA",3,"none",0,1,1,1,1,0,0,0,0,0,1,0
"643","ETTzxqOcPuxMqV37y1uhdg",4,"none",0,1,1,1,1,0,0,1,1,0,1,1
"649","e9QjTA0wa0s6UvLPTnu4cw",3,"none",0,1,1,1,1,0,0,0,1,0,0,1
"653","zfiSQ1dl3vTJ-og96eqXGA",4,"none",1,1,1,1,1,0,0,1,1,0,0,1
"654","mss-LiOfL1vtoNo3WoEoJw",5,"none",0,1,1,1,1,0,0,1,1,0,0,0
"655","zcfmbmOEX83YL04f9_Y0BA",3.5,"beerandwine",0,1,1,1,1,0,0,1,1,0,0,0
"658","PvAOQjUxoWlWqNbiO2tthQ",4,"beerandwine",0,1,1,1,1,0,0,1,0,0,1,0
"660","Gy_XiWqkJM8JMaKk_sgXOw",3,"beerandwine",0,1,0,1,1,0,0,1,0,0,1,0
"661","4zsGtAFbuDi30O43O4JWmg",3,"none",0,1,0,1,1,0,0,0,0,0,1,0
"663","QQSlx-l_cfwkVrNwjV_HgQ",3,"fullbar",0,1,0,1,1,0,0,1,1,0,1,1
"665","LA9j7bDQLkDmLspdHwL3Bg",4.5,"none",0,0,1,1,1,0,0,0,0,0,0,0
"669","bffQssCZ-KpA_PPIu6Vysg",2.5,"beerandwine",0,0,1,1,1,0,0,0,0,0,0,0
"675","Zv2ZxnAZLswC3IXyiHhYeA",4.5,"fullbar",0,0,1,1,1,0,0,0,0,0,1,1
"677","zMfZLd5_h5W8ZVxTNoeJyQ",2.5,"fullbar",0,1,1,1,0,0,0,1,1,0,1,0
"681","fiRbomFAAtfTYOTTtnDUcA",3,"fullbar",0,1,1,1,0,0,1,0,1,0,1,1
"683","oHeiAs-mnDJU1_4BD8_5Dg",3.5,"fullbar",0,0,1,1,1,1,0,0,0,0,1,0
"685","xkdgCrkgfbI80Htst6-Lbw",3.5,"fullbar",0,1,1,1,1,0,0,0,1,0,0,0
"687","SEjyjYlMfFFzkHaru6JadA",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"692","3MntE_HWbNNoyiLGxywjYA",3.5,"none",0,0,1,1,1,0,1,1,1,0,1,1
"696","ndq4rJcFLMbMGU_gK5u79Q",3.5,"none",0,1,0,1,1,0,0,1,0,0,0,1
"697","PeLzCf2_GZlNZns2PLBueA",3.5,"none",0,1,1,1,1,0,0,1,0,0,1,1
"703","5zzuzWbt9_YrL95EIHobLA",3,"beerandwine",0,1,1,1,1,0,0,1,1,0,0,0
"704","G0F3kmnES1i8a9Vp78ct7w",3.5,"none",0,0,1,1,1,0,0,0,0,0,1,0
"707","AYL_y8ahquUW0o-cvIyLbg",4,"none",0,1,1,1,1,0,0,1,0,0,1,1
"713","cKgUCzMGuRgkbKXUsgeXUw",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"714","tVVZcFFt3ZlWVE7nptN3EQ",3,"none",1,0,1,1,1,0,0,1,1,0,0,1
"715","2gI7dlktBQXPZiuOW-HWvw",3.5,"none",0,1,0,1,1,0,0,1,1,0,0,0
"716","EHDcxAlrrP4VPiZuQlrIrg",2.5,"fullbar",0,1,0,1,1,0,0,0,1,0,1,0
"717","20vCzyibdvXOxW42h9v_MQ",2.5,"none",0,1,0,1,1,0,0,0,0,0,0,0
"719","uI2lQHqS1Pkh1-EzgeD-ww",2.5,"none",0,0,0,1,0,0,1,1,1,0,1,1
"730","L_X5eAd4moE40AsX6Havhg",3.5,"fullbar",0,1,1,1,1,0,0,1,0,0,1,0
"731","wd-pzPYNehT6QTsc1qr7pA",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"734","ka5SLblwtXqYu2MPNr7C_w",3.5,"fullbar",0,0,0,1,1,0,0,0,0,0,1,0
"735","asAHqgKQtCWiBbC3XriSIQ",3.5,"none",0,0,1,1,1,0,0,0,0,0,0,1
"739","6PtDrXXQK9JyrN7M4nvZyA",3.5,"none",0,0,1,1,1,0,0,0,0,0,0,1
"740","BMAflH82OUIMl2mHtP0MNQ",3.5,"beerandwine",0,1,1,1,1,0,0,0,0,1,1,1
"741","IUv-dRWHyds6ncxqVcxpGQ",3.5,"none",0,0,0,1,1,0,0,1,0,0,0,0
"742","89uU51kOiQXbJHVA3C6XMQ",4,"none",1,0,0,1,1,0,0,1,0,0,0,0
"748","mobHB_VRr8jRqLoR3-sBVw",4,"none",0,0,1,1,1,0,0,0,0,0,1,0
"749","0kag5JGemji05P3oxx4lpg",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,1,1
"756","M9fOuiesoUSaouOqNQ3U2w",4,"beerandwine",0,1,1,1,1,0,0,0,1,0,0,0
"762","p2nstdjiVQyz312Zz5u3DQ",4,"none",0,1,1,1,1,0,0,1,1,0,1,1
"768","MedWQ7ljpXnfyNnXPZaBmA",3.5,"fullbar",0,0,1,1,1,0,0,0,0,0,1,0
"773","W537pidoTVQmn9x1GPpxgA",4,"none",0,1,1,1,1,0,0,1,0,0,0,0
"774","dunZ7E-LwPvkAS6ERVa8gw",2,"none",0,0,0,1,1,0,0,0,0,0,0,1
"776","s6L6SdVYhPcOQEDmNIg1-g",3,"none",0,0,1,1,1,0,0,0,0,1,1,1
"777","9pTewioF128zRmHKAYGYDQ",2.5,"none",0,0,0,1,1,0,0,0,0,0,0,1
"778","SYKIUCvN9JdSkVampgccfA",3.5,"none",1,0,1,1,1,0,1,0,0,0,1,0
"779","vQtlv7CEiOjpUqh8Kb7iDQ",2.5,"none",0,0,0,1,1,0,0,0,0,0,1,0
"780","t7qvPH0G30w6xX5Q4lf8Jw",3.5,"none",1,0,1,1,1,0,0,1,0,0,1,1
"782","tyCIs0pyyw36apAXdR26WQ",2.5,"fullbar",0,1,1,1,1,0,0,1,0,0,0,1
"783","rVZfapnQgyVLsNWA583u-A",3.5,"none",0,1,1,1,1,0,0,1,1,0,1,1
"784","079CV1EE5WLdQqVEVYFeHQ",4,"beerandwine",0,1,1,1,1,0,0,1,1,0,0,0
"785","yk1H2EzzLE8XvIlPF_mRuA",3.5,"none",0,1,1,1,1,0,0,1,1,0,1,1
"786","alWRFbDdU3_F1c2C4nG2dw",3,"none",0,1,1,1,1,0,0,1,0,0,1,1
"787","McQsl_USMy6kfUz9J02Tdg",4,"beerandwine",0,1,1,1,1,0,0,1,0,0,0,0
"794","dAcaMSkrpYUZocqrLvOzRQ",3.5,"none",0,1,1,1,1,0,0,1,1,0,1,0
"796","bZaVMkkaXFc0xpnOkacWsg",3,"none",0,0,1,1,1,0,0,1,1,0,1,1
"801","t6ZIBNrQjvtwor8W-u3sUg",4,"none",0,1,0,1,1,0,0,1,1,0,0,1
"806","oXFRaSgcT9GwCWfC9lf8dg",4,"none",0,0,1,1,1,0,0,1,0,0,0,0
"807","nYpxA8exNB1VPuM7XYS7fg",4.5,"none",0,1,0,1,1,0,0,1,1,1,0,0
"808","AcW_Km7jkGBr4rJdIrIP4w",4,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"809","0HSY1jGtyFuETZwaJN6rQQ",3.5,"none",1,0,1,1,1,0,0,1,0,0,1,1
"810","lUSAupdaVSoEaUO63RdPZA",3.5,"none",0,1,1,1,1,0,0,1,1,0,0,1
"811","S_VE4sLb8Tu59VYIgwc5Sw",4,"fullbar",0,1,1,1,1,0,0,1,0,0,1,0
"812","HTlsBAd9j1wlWDHxnYczBw",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,1,1
"818","kPr9rYEkGwbRLgUHvKljQQ",4.5,"beerandwine",0,1,1,1,1,0,0,1,1,0,0,0
"821","wKsqOTkmXIPzrJaPz6uBNg",1.5,"none",0,0,0,1,1,0,0,0,0,0,0,1
"822","SknYYIK1rBNgYqNl4tYUPA",3.5,"none",0,1,0,1,1,0,0,1,0,0,1,0
"832","gDQlaDRAjsCx2p_p6oJLjw",3,"none",0,1,0,1,1,0,0,1,1,0,0,1
"834","RdK6dhy4lOb2taNp-WrHjQ",4,"beerandwine",0,1,0,1,1,0,0,1,1,0,0,0
"837","n62dcL1e8BQA1_kUEYrldQ",4,"fullbar",0,1,1,1,1,0,0,1,1,0,0,0
"839","tNky09c0HBYiHxizht0gCQ",4,"none",0,1,0,1,1,0,0,1,0,0,0,0
"842","Todrg1F247iuDIm784XHfA",4,"beerandwine",0,1,1,1,1,0,0,1,0,0,1,0
"846","kzCG-KC3YVrQs7l-0d0b1w",3.5,"none",0,1,1,1,1,0,0,0,0,0,0,1
"847","s36Rk0jd78z75LaqifnU3Q",4.5,"fullbar",0,1,1,1,1,0,0,1,0,0,1,0
"849","nwHd2MbIGz0SNG8GpFjekw",4,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"852","krAgdtJ-2CcNGpuwKCbt9A",3,"fullbar",0,1,1,1,1,0,0,1,0,0,1,0
"853","n6AxJR-ey2_DgAJPZfEvfQ",2.5,"none",0,0,1,1,1,0,0,0,0,0,0,0
"855","HJEaoW2OUTeZuQcygYUpqQ",4,"none",0,0,1,1,1,0,0,0,0,0,1,0
"857","8ci0d-HKFK8MgHrf8kPF8g",3,"none",1,0,1,1,1,0,0,1,0,0,0,1
"858","oDM09XMN-FG0ii_gdVMrTw",2,"none",0,0,0,1,1,0,0,0,0,0,0,0
"859","P6c0lV9DeJ6ofntpTWyqhA",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,0,0
"861","zwmps5SXn30g-f5wqg_r9A",3,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"864","9li2xKBUybR_7JGiCwo6Gg",3,"none",0,0,1,1,1,0,0,0,0,0,1,1
"868","h7As2jB8bhfFxCMCvdssWA",4,"beerandwine",1,0,0,1,1,0,0,1,1,0,0,0
"869","y83KJBCcnhm-aYqtUJHDHQ",4,"beerandwine",0,0,1,1,1,0,0,1,0,0,0,0
"875","ccdcyzc1oSucd-qRlnYR0w",1.5,"none",0,0,1,1,1,0,0,0,0,0,1,1
"879","hkeHIe-JaUK5S5dUHgrBbA",4,"none",0,0,0,1,1,0,0,1,1,0,1,1
"884","RwMLuOkImBIqqYj4SSKSPg",4,"none",0,1,1,1,1,0,1,1,1,0,0,0
"885","CJvN2k3gjR7JspTx21icTQ",4.5,"none",0,1,1,1,1,0,0,1,1,0,0,0
"888","prHnRsgY-PuM7vxe8-RwEA",2,"none",1,0,0,1,1,0,0,0,1,0,0,1
"890","oE6gKgUfMd74m77d6hG9qg",4.5,"none",0,0,1,0,1,0,0,0,0,0,0,0
"891","xw6G0T2VQZAtta6RcZoAOQ",3,"none",0,1,1,1,1,0,0,1,1,0,0,0
"894","Oi-u4KqrcZbIWSYKnh7mJA",3.5,"beerandwine",0,1,0,1,1,0,0,1,0,0,0,1
"901","QXR-YnHgV0qDyuUTckYeGw",3.5,"none",0,1,1,1,1,0,0,1,0,0,1,1
"902","HKoPaMZc1iG8XYzYRhwBKw",3,"none",0,0,1,1,1,0,0,0,0,0,0,1
"903","Hgy5MrIKrwRJDXnwKaCpbA",3.5,"fullbar",0,1,1,1,1,0,0,0,1,1,1,0
"904","M9aTtOeOIG-EOLeHNgkKfQ",4.5,"none",0,0,1,1,1,0,0,0,0,0,1,0
"905","nNz_7luh2aD1_U9N3tJUMA",3,"none",0,0,0,1,0,0,0,0,0,0,0,0
"906","J5tGb5yI9-bMEohZrtf0SQ",3,"none",1,1,1,1,1,0,1,1,1,0,0,1
"908","OWMCp8jmbjouogxcKarQFg",3,"none",0,0,1,1,1,0,1,0,0,1,1,0
"909","nCJMgK00U7J3MyjLqZOSeQ",2.5,"fullbar",0,0,1,1,0,0,0,0,0,0,1,0
"910","syQBNfPzUKGnZE6w8cLuYA",2.5,"none",0,1,1,1,1,0,0,1,0,0,1,0
"911","Z1yvzAbs4fGC28s7WtUonA",3.5,"beerandwine",0,1,1,1,1,0,0,1,0,0,0,0
"913","atLCqV8RGezSxgLzcM9HaQ",4,"none",0,1,1,1,1,1,0,1,0,0,1,0
"917","tNJgmbODR-N0qdPGy4Vsrw",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"918","qThJY-H6Fo8HvfdIvwrjiw",4.5,"none",0,1,1,1,1,0,0,1,0,0,0,1
"919","8Syk4yZRivDlVUdXxIPutQ",4,"beerandwine",0,1,1,0,1,0,0,1,1,0,1,0
"920","bsme1TUoEQt5EDF7O6HBrg",4,"none",0,0,1,1,1,0,0,1,1,0,0,0
"922","N9JASBwB9kWtK0_EjTa1nw",4,"none",0,0,0,1,1,0,0,1,0,0,0,0
"924","zWKpPyzm0W9N5OEPDuwgMA",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,0,0
"927","I0f12eU-xFn6Kd_4H57jrQ",3,"beerandwine",0,1,1,1,1,0,1,1,1,0,1,1
"928","oGYXSVs0ympLy0ur8Qnp7g",3,"none",1,0,0,1,1,0,0,1,0,0,0,0
"930","SktLID5_ywSlgVE-h3NB3Q",3,"none",0,1,1,1,1,0,0,1,1,0,1,1
"931","E_DXCeVllZtHV93hsAIZvw",4.5,"none",1,0,0,1,1,0,0,1,1,0,1,0
"932","CuIPocteo1F3LEn1OqUoHg",4,"beerandwine",0,0,0,1,1,0,0,0,0,0,0,0
"933","9pvJiPUzB5JTqhNTloKjvA",2.5,"none",0,1,1,1,1,0,0,1,0,0,0,0
"936","aJR1iUWwNVBM692gq7adBA",4,"none",0,1,1,1,1,0,0,1,1,0,0,1
"937","dCX6CvWGn8oiPSD_yxrm0Q",3.5,"none",0,1,0,1,1,0,0,1,1,0,0,1
"941","Kx0MUrNQ737s-VVElk6Vig",4,"none",1,0,1,1,1,0,0,1,0,1,1,1
"942","tpCALADHTuBaCJNgAluj2w",3,"none",0,1,1,1,1,0,1,0,0,0,0,0
"943","Y-oPVMkxgEsve1sG2iDLXA",4.5,"beerandwine",0,1,1,1,1,0,0,1,1,0,0,0
"947","z4K95Y4P5nMrtJiDtXWDYA",3.5,"fullbar",0,1,1,1,1,0,0,0,1,0,1,0
"953","BY1_pf7FHUycHOwYEenDlQ",3.5,"none",0,1,1,1,1,0,0,1,1,0,0,1
"954","CUn59grUqyROxhSyfjjhHw",2.5,"none",0,0,1,1,1,0,0,0,0,0,1,0
"957","1ME-zOtZ9HApzJUOpR0-vQ",4,"none",0,1,1,1,1,0,0,1,0,0,1,0
"960","O3y-5O1n5l0ge_6KGyR_4A",4,"none",0,1,1,1,1,0,1,1,1,1,1,0
"961","Kvm-YTwOrexgqxZ25CRi-w",4,"none",0,0,0,1,1,0,1,0,0,0,1,0
"962","ed1KHQwsAYyFDrlUdwqJBA",3,"none",0,0,0,1,1,0,0,0,0,0,0,0
"963","jS3U9iEGnJY7j5oT9iDN7A",3,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"967","F1PMcEIg-FHZvwhiUoFEgw",4,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"969","-UjCvAsvBOr19y8lqPueiQ",3,"none",0,0,1,1,1,0,0,1,0,0,0,0
"973","9ySFD8tMkeuTclyWfanI9w",3.5,"none",0,0,0,1,1,0,0,0,1,0,0,0
"976","WRsx6oYB8vtEM24auz275A",4,"fullbar",0,1,1,1,1,0,0,1,0,0,1,0
"977","1zI3trw5QLNdypXBfudh0w",3.5,"none",0,0,0,1,1,0,0,0,0,0,1,1
"982","JlNeaOymdVbE6_bubqjohg",3.5,"none",0,1,1,1,1,0,1,1,1,0,0,0
"985","QKCu3cKjMAOOZI7tEfv0zg",3.5,"none",0,1,1,1,1,0,0,1,1,0,0,1
"997","l9B72QwKjUhEA-pLumCa5w",3.5,"none",0,1,1,1,1,0,0,1,1,0,1,1
"999","vvyr4r16lx5hjHJpaFJ8kw",3,"none",0,0,0,1,1,0,0,0,0,0,0,1
"1003","ifHBH2gZS_feI6JlFbGFfQ",3.5,"fullbar",0,1,1,1,1,0,1,1,1,0,1,0
"1004","9Zhiktm7_LYN_uxaT9XEhg",3,"none",0,0,1,1,1,0,0,0,1,0,1,0
"1006","5uk8eUTiRS_Y5p_EjnrfkQ",2.5,"beerandwine",0,1,0,1,1,0,1,0,0,0,0,0
"1007","9gQyf3h7XK0lKJYLGcIYlA",3.5,"none",0,0,1,1,1,0,0,0,0,0,0,0
"1008","jDZJsIyc3jXjcTtJk_p8ZA",3,"none",0,1,1,1,1,0,0,1,1,0,0,0
"1012","2PnRXLAN3KFEu4g0OUL2iw",4,"none",0,1,1,1,1,0,0,1,1,0,0,0
"1014","CGgUHkAKU0QBsdGvXxfMuw",3.5,"none",0,1,0,1,1,0,0,1,1,0,1,1
"1015","a_ai1uMhAqQSYaO_QNmnSw",3,"fullbar",0,1,0,1,1,0,0,1,1,0,1,0
"1017","bjr8Uyi-r6xDeXVAhSX-cA",2.5,"none",0,1,1,1,1,0,0,1,1,0,1,1
"1018","4g3IsMpBLReHDA5JatpPzw",4,"none",0,0,1,1,1,0,0,0,0,0,0,0
"1020","rbH0HuTcBvZBbiAnqufRqQ",4.5,"beerandwine",0,1,1,1,1,0,0,1,0,0,1,0
"1022","6WDDksGLLehfQDIvQXzR5w",4,"none",0,1,1,1,1,0,0,1,1,1,0,1
"1023","WEs9MN1M6tixwEz844jCUw",2.5,"none",1,0,0,1,1,0,0,0,0,0,0,1
"1024","fjE-jiwnTQysz-rLl6YMQg",4,"none",0,1,0,1,1,0,0,1,1,0,0,1
"1030","gIno_cXhvn6Om14D0I2vHg",3.5,"fullbar",0,1,1,1,1,0,0,1,0,0,1,0
"1032","Jzz-ZLXsd2ClSn6UyFcbpw",2.5,"none",1,1,1,1,1,0,0,1,1,0,1,0
"1033","WPkRg0eaJZFbyXm0uNb1ZA",4,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"1034","Re4lbcGNpkWduWDDsCXUbg",3.5,"none",0,0,1,1,1,0,0,0,0,0,0,0
"1037","-LAiusd8GnWFR8atxbT-Vw",3,"fullbar",0,1,1,1,1,0,0,0,1,0,1,0
"1038","b65Ugu0VDKDNbLq7sW9RDQ",3.5,"none",0,0,1,1,1,0,1,1,1,0,1,0
"1039","oWxiT2PasutHFyZp8Yh2mA",4,"none",0,1,1,1,1,0,0,1,1,1,0,0
"1040","XBikK0GMqJTF5d_bI3VSkA",3,"beerandwine",0,0,0,1,1,0,1,0,0,0,0,0
"1043","qdtfcYMROGZVvYcE9F23yg",3.5,"beerandwine",0,1,1,1,1,0,0,1,0,0,1,1
"1045","ceuvH6NpDhpT1p4q1w93pA",3.5,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,1
"1048","ak-f8IV0ZdDeI4oYnjA1Pw",4.5,"none",0,1,1,1,1,0,1,1,1,0,1,0
"1049","7PTQ-a8Fu4kxXccFvWWT-Q",1.5,"none",0,0,0,1,0,0,0,0,0,0,0,1
"1051","toc31C-Qy2smSq0A7Q8FgA",3.5,"none",1,0,1,1,1,0,0,1,1,0,0,1
"1054","QMPDsRxHmDtap9ECO1Uwjg",3.5,"none",0,1,1,1,1,0,0,1,1,0,0,1
"1057","jslGoWrJQtpC1UgEve0YgA",3,"fullbar",0,0,1,1,0,0,0,0,0,0,0,0
"1058","Sh-XzCG2pZ59g85kjROciw",4,"none",0,1,1,1,1,0,0,1,0,0,0,1
"1059","vAh6WNioOEw7G9tGhd_JQw",4,"beerandwine",0,1,0,1,1,0,0,1,1,0,0,0
"1061","FtLibezRe7HsT13BLpR-Dg",3.5,"fullbar",1,0,1,1,1,0,0,1,1,0,1,0
"1065","Fo-Qyaas3tOsA_GE4_lFbQ",2,"beerandwine",1,0,1,1,0,0,1,0,0,0,1,1
"1066","jrWegacxD7lD1Cp-Kc5m2w",3.5,"none",0,0,0,1,1,0,0,1,0,0,0,0
"1067","A5Xd85djipsW546Bq6qIYA",4,"none",0,1,1,1,1,0,0,1,1,0,0,1
"1068","-pL4Id5cuz2yC2UKi2Yq9A",4,"fullbar",0,1,0,1,1,0,0,1,1,0,1,0
"1071","G3pcVtRukZM2oKiLeNiUUA",4,"none",0,1,1,1,1,0,0,0,0,0,1,0
"1072","c2l80imPWR8V6gIEM02XPg",3,"none",1,0,1,1,1,0,0,1,1,0,0,1
"1073","Nsi49BE_XsjJ0oOXwhH8hA",2,"none",1,0,1,1,1,0,0,1,0,0,0,0
"1074","WPQEzolKWpB_zOx-iexoBA",3,"none",0,0,1,1,1,0,0,0,0,0,1,1
"1075","U3ShrvhAFpv5mfT6z07eGw",3.5,"none",0,1,1,1,1,0,0,1,0,0,0,0
"1076","h9pEt23IAyjBtUaYA9v46A",5,"none",0,1,1,1,1,1,0,0,0,0,0,0
"1077","Gkhi0IkGAIls6YgXBSdZqQ",4,"none",0,1,1,1,1,0,0,0,0,1,1,0
"1081","XH4jDFKyeCI7qkKq6PB9Nw",2.5,"none",0,1,0,1,1,0,0,1,0,0,0,0
"1083","pt7p4klGicvPZe04mhhVGQ",4.5,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,1
"1086","ZrucPqD_AGAZM53BwtsdTw",3.5,"none",0,0,0,1,0,0,0,0,1,0,0,1
"1090","9Ii0ZUKw0zAus-AnI00xLw",2.5,"fullbar",0,1,1,1,1,0,0,0,0,0,1,0
"1093","a2NSxkmX0_eqvdwJ2rjPVg",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,0,0
"1095","ExDYoLUru6wMcAmcSYwM3w",3,"beerandwine",0,1,1,1,1,0,0,1,0,0,1,1
"1098","IyrDnrvUKpndj5zIv1KvGQ",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"1100","6MhY_9EkUkKCvvN8rzXZzg",3.5,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,0
"1101","IMu-TDHot24Y0X7ESLxHyA",3,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"1104","elpS_xeOX_S5obTwx55kjg",3,"beerandwine",0,0,1,1,1,0,0,1,0,0,0,1
"1110","XWafv9_J7TUOO4PbEcIFJA",4,"none",1,0,0,1,1,0,1,0,0,0,1,0
"1111","pNp1FK8JqW8ZMA26YJGXYA",3.5,"none",0,1,0,1,1,0,0,1,1,0,1,1
"1112","lXCmTGagqHuPgaeN2g2P1Q",4,"none",0,0,0,1,1,0,0,0,0,0,0,1
"1114","4xnVH2jTVwrsO88q_jHWWw",4,"none",0,1,1,1,1,0,0,0,1,0,0,1
"1115","joTw5858fDh3Y_rF0NDOsg",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"1119","qaJ-HewyVAQCQ8C_KveZ4g",3,"none",0,1,1,1,1,0,0,1,1,0,1,1
"1121","tE4H7SuEBCdF8O-BMAAB6g",2.5,"none",0,0,1,1,1,0,0,0,0,0,0,1
"1122","Pawavw9U8rjxWVPU-RB7LA",3.5,"none",0,1,1,0,1,0,0,0,1,0,1,0
"1123","-cxD1NimFldATDUsN-oa3A",2,"fullbar",0,1,0,1,1,0,0,0,0,0,0,0
"1126","ydUqgWsF3F27TbauOyib0w",4,"beerandwine",0,1,0,1,1,0,0,1,1,0,0,0
"1127","9wNrqTeoEepFSbFu4QLuUQ",3.5,"beerandwine",0,0,1,1,1,0,0,0,0,0,1,1
"1129","sj-0d748hFyfzskL9-57dg",4,"beerandwine",0,0,1,1,1,0,0,0,0,0,1,1
"1130","UZ34XAw1GJ3chCOuKL69Mg",3,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"1131","1-EjdZhVZFuNG6ReBS0rvQ",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"1133","oAngC9V69vyzBVYwKEJQaw",4,"none",0,1,1,1,1,0,0,1,1,0,0,1
"1134","iN3SrF5NO0xSf6umeUws-Q",3.5,"fullbar",0,1,1,1,1,0,1,0,1,1,1,0
"1137","YSYDJTCt5kzY2kKnLNGRiA",4,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"1139","VONg0lyHm7fUdARWjkkjCQ",4.5,"fullbar",0,0,1,1,1,0,0,0,0,0,1,0
"1140","pODquGPiGwP4-RoY7f4xtA",3,"beerandwine",0,0,1,1,1,0,0,1,1,0,1,0
"1147","67FzueRMlcTQV3Nuep2qPw",3,"none",0,0,0,1,1,0,0,1,0,0,0,1
"1153","UT6L3b7Zll_nvRidijiDSA",4,"fullbar",0,1,0,1,1,0,1,1,1,0,1,0
"1157","Pgay5a3ZPZB_5ijSHAGoyA",3.5,"none",0,0,1,1,1,0,0,0,0,0,0,0
"1158","NVHlTy9TXFJQpUzZKuEeWw",3,"none",0,1,0,1,1,0,0,0,0,0,1,1
"1161","cm5pya6toFXn6sJT4FVGyg",4,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"1162","uWrrQ8Rk2uM2WqPMi7EDag",3,"none",0,1,1,1,1,0,1,1,1,0,0,0
"1163","ghVWzVyEUW1BA_WBX-P5aQ",2.5,"none",0,0,0,1,1,0,0,1,0,0,0,0
"1166","S6V63OzrCaj22BQJeKBDCw",3,"none",0,0,1,1,1,0,0,1,0,0,0,0
"1168","e_W6Q-qOHcUR5ZKrwvC2qw",3,"none",0,0,0,1,1,0,0,0,1,0,0,0
"1173","FiG8PzWKRYehtPPcPtOStw",3.5,"fullbar",0,1,1,1,1,0,0,1,0,0,1,1
"1175","CtYWpX_cy1YdZgoKtS0Tqg",2,"none",0,0,0,1,0,0,0,0,0,0,0,1
"1179","kGU2-r-615GNDzS-JZ6zHw",3.5,"none",0,1,1,1,1,0,0,1,0,0,0,1
"1182","bjbegGikWzSgeVsOJdE22g",4,"none",0,1,1,1,1,0,0,1,1,0,0,0
"1186","by7BOr074_BKz7hkRIi9WQ",3,"beerandwine",0,0,0,1,1,0,0,0,0,0,1,1
"1187","92rhxx9s3s5_vNkJbRjVNw",3,"fullbar",0,0,1,1,1,0,0,0,0,0,1,1
"1188","-uYAkAplo7a4WM7c6lDrWQ",3,"none",0,1,1,1,1,1,0,0,0,0,1,1
"1191","Yuml4M6_FKQNaLlOEt1udw",3,"none",0,0,1,1,1,0,0,0,0,0,0,0
"1196","7ge2DIxgQAl20_wr4yUgsA",4,"none",0,1,1,1,1,0,0,1,1,0,0,0
"1202","iRFaq249LVEFGeXLzPULnQ",4,"fullbar",0,1,1,1,1,0,0,1,1,0,0,0
"1206","V2nl8PxQmMD_ecLpjD2sUw",3.5,"fullbar",0,0,0,1,1,0,0,0,1,0,1,0
"1207","l_MAsRrpzf2sXPykr9DyxQ",4,"none",0,0,1,1,1,0,0,1,0,0,0,1
"1214","ZkEapemTcLOFMBvV9J2iwQ",3.5,"none",0,1,1,1,1,0,0,0,0,0,0,0
"1216","45wDLpgW2BFrCRqlf19Efg",3.5,"none",0,0,1,1,1,0,0,0,1,0,0,1
"1217","rNNVuA-xq1SVEQaLzrK4bw",3.5,"none",0,1,1,1,1,0,1,1,1,0,0,0
"1220","bEv2oci0MMyb3RKwOiYYhw",2.5,"none",0,0,0,1,1,0,0,0,0,0,0,0
"1222","-iBk1_3M_efQtY6Bcygp5w",4.5,"none",0,0,1,1,1,0,0,0,0,0,0,0
